asset,F1_exposure_intensity,low_ndvi_variance,mean_ndvi,F2_vegetation_suppression,F3_persistence_raw,F1_exposure_intensity_z,F2_vegetation_suppression_z,F3_persistence_raw_z,CERI_z,risk_cluster,risk_tier,cluster,cluster_k3
Bingham,0.999921820404223,2.8053350801249115e-09,0.021179123316803,0.978820876683197,1.0,0.629904183734891,0.421692538573011,0.5199583834585522,0.5454515301310592,0,High Risk,0,2
Carajás,0.9373322690016748,0.0020503424403882234,0.03514954237225016,0.9648504576277498,4.877238360956326e-07,0.2133025491006567,0.26887949407154893,-1.4994145291255303,-0.11256778305331305,0,High Risk,0,0
Gevra,0.6842940822005215,6.057727819853661e-05,0.19374353920095372,0.8062564607990463,0.9704563857205676,-1.4709421831910567,-1.4658738729435885,0.4602987799454233,-1.0831734974895202,1,Moderate Risk,1,1
Grasberg,0.9995959934317812,8.161065358198176e-07,-0.01114841876661706,1.011148418766617,0.9996033336184069,0.6277354503555105,0.7753018402990322,0.5191573657215549,0.6502897504117758,0,High Risk,0,2
